serie_id,serie,indicador,unidade,periodicidade,data_referencia,ano,mes,valor
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-11,2016,5,3.4645
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-12,2016,5,3.4877
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-13,2016,5,3.5041
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-16,2016,5,3.5035
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-17,2016,5,3.5037
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-18,2016,5,3.5368
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-19,2016,5,3.6003
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-20,2016,5,3.5419
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-23,2016,5,3.566
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-24,2016,5,3.5491
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-25,2016,5,3.5804
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-27,2016,5,3.6168
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-30,2016,5,3.5997
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-31,2016,5,3.5951
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-01,2016,6,3.6126
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-02,2016,6,3.5961
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-03,2016,6,3.5409
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-06,2016,6,3.5098
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-07,2016,6,3.4745
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-08,2016,6,3.3898
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-09,2016,6,3.3817
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-10,2016,6,3.4261
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-13,2016,6,3.4533
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-14,2016,6,3.4839
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-15,2016,6,3.4768
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-16,2016,6,3.4904
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-17,2016,6,3.4372
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-20,2016,6,3.3835
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-21,2016,6,3.3897
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-22,2016,6,3.3883
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-23,2016,6,3.3533
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-24,2016,6,3.3772
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-27,2016,6,3.3934
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-28,2016,6,3.3267
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-29,2016,6,3.2435
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-06-30,2016,6,3.2098
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-01,2016,7,3.2298
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-04,2016,7,3.248
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-05,2016,7,3.2904
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-06,2016,7,3.3242
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-07,2016,7,3.3388
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-08,2016,7,3.2968
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-11,2016,7,3.3031
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-12,2016,7,3.275
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-13,2016,7,3.2896
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-14,2016,7,3.2311
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-07-15,2016,7,3.2656
