data_referencia,ano,trimestre_num,trimestre,uf_id,taxa_desocupacao_pct,taxa_subutilizacao_pct
2021-04-01,2021,2,2º trimestre,27,19.2,43.8
2013-04-01,2013,2,2º trimestre,31,7.0,16.0
2012-01-01,2012,1,1º trimestre,41,5.6,15.6
2018-07-01,2018,3,3º trimestre,24,13.0,35.5
2022-07-01,2022,3,3º trimestre,43,6.0,13.3
2012-04-01,2012,2,2º trimestre,51,5.8,13.7
2022-07-01,2022,3,3º trimestre,29,15.0,33.9
2012-04-01,2012,2,2º trimestre,35,7.5,14.6
2023-04-01,2023,2,2º trimestre,25,10.4,25.9
2022-04-01,2022,2,2º trimestre,33,12.6,20.1
2025-01-01,2025,1,1º trimestre,15,8.7,22.8
2025-01-01,2025,1,1º trimestre,26,11.6,26.3
2015-10-01,2015,4,4º trimestre,31,9.4,18.6
2025-10-01,2025,4,4º trimestre,26,8.8,21.9
2013-10-01,2013,4,4º trimestre,43,4.7,11.2
2013-10-01,2013,4,4º trimestre,52,3.9,8.3
2023-04-01,2023,2,2º trimestre,23,8.6,24.8
2016-04-01,2016,2,2º trimestre,51,10.0,13.9
2022-01-01,2022,1,1º trimestre,21,13.2,37.0
2017-07-01,2017,3,3º trimestre,12,13.7,27.8
2017-07-01,2017,3,3º trimestre,41,8.5,16.4
2020-01-01,2020,1,1º trimestre,24,15.7,36.8
2026-01-01,2026,1,1º trimestre,22,8.9,30.4
2015-01-01,2015,1,1º trimestre,25,9.3,26.4
2022-04-01,2022,2,2º trimestre,13,10.5,23.9
2014-07-01,2014,3,3º trimestre,29,9.8,26.6
2020-04-01,2020,2,2º trimestre,16,11.3,29.6
2019-01-01,2019,1,1º trimestre,43,8.1,15.6
2022-04-01,2022,2,2º trimestre,53,11.6,22.1
2014-10-01,2014,4,4º trimestre,31,6.3,15.4
2020-04-01,2020,2,2º trimestre,15,9.3,29.4
2014-04-01,2014,2,2º trimestre,24,11.7,27.2
2013-01-01,2013,1,1º trimestre,24,12.2,29.9
2023-10-01,2023,4,4º trimestre,11,3.7,7.0
2013-10-01,2013,4,4º trimestre,24,9.8,27.3
2024-07-01,2024,3,3º trimestre,33,8.6,15.5
2023-01-01,2023,1,1º trimestre,28,12.0,33.6
2022-07-01,2022,3,3º trimestre,50,5.1,11.6
2015-04-01,2015,2,2º trimestre,13,9.7,16.8
2019-01-01,2019,1,1º trimestre,32,12.4,20.7
2018-07-01,2018,3,3º trimestre,53,12.7,21.6
2015-01-01,2015,1,1º trimestre,17,8.8,21.7
2019-10-01,2019,4,4º trimestre,16,15.8,30.3
2013-10-01,2013,4,4º trimestre,17,6.5,20.6
2020-01-01,2020,1,1º trimestre,41,8.0,16.2
2025-07-01,2025,3,3º trimestre,52,4.5,9.0
2018-04-01,2018,2,2º trimestre,51,8.6,16.1
2021-10-01,2021,4,4º trimestre,51,5.9,12.4
2016-10-01,2016,4,4º trimestre,22,8.9,34.9
2016-04-01,2016,2,2º trimestre,31,11.0,21.2
2026-01-01,2026,1,1º trimestre,24,7.6,17.8
2022-10-01,2022,4,4º trimestre,27,9.4,29.1
2021-04-01,2021,2,2º trimestre,52,12.5,21.2
2022-04-01,2022,2,2º trimestre,31,7.3,17.9
2015-04-01,2015,2,2º trimestre,28,9.2,26.8
2022-07-01,2022,3,3º trimestre,35,8.7,16.9
2025-10-01,2025,4,4º trimestre,16,8.4,14.1
2015-07-01,2015,3,3º trimestre,21,8.6,23.5
2021-07-01,2021,3,3º trimestre,31,10.7,23.8
2013-07-01,2013,3,3º trimestre,11,4.6,11.3
2024-10-01,2024,4,4º trimestre,52,4.9,10.8
2019-04-01,2019,2,2º trimestre,25,12.2,34.7
2022-04-01,2022,2,2º trimestre,28,12.9,37.8
2023-10-01,2023,4,4º trimestre,25,9.6,26.9
2019-10-01,2019,4,4º trimestre,35,11.6,19.1
2015-01-01,2015,1,1º trimestre,42,3.9,6.6
2016-04-01,2016,2,2º trimestre,15,10.9,26.5
2012-04-01,2012,2,2º trimestre,41,5.3,14.9
2021-04-01,2021,2,2º trimestre,42,5.9,10.6
2017-10-01,2017,4,4º trimestre,27,15.8,36.6
2014-07-01,2014,3,3º trimestre,17,7.7,19.6
2012-10-01,2012,4,4º trimestre,32,6.7,12.5
2012-01-01,2012,1,1º trimestre,23,7.3,27.5
2026-01-01,2026,1,1º trimestre,21,6.9,25.0
2016-04-01,2016,2,2º trimestre,13,13.5,25.5
2017-04-01,2017,2,2º trimestre,25,11.5,32.8
2016-10-01,2016,4,4º trimestre,32,13.8,19.8
2024-10-01,2024,4,4º trimestre,15,7.2,20.6
2013-07-01,2013,3,3º trimestre,22,7.5,31.0
2019-07-01,2019,3,3º trimestre,27,15.6,35.1
2015-07-01,2015,3,3º trimestre,11,6.7,13.5
2015-07-01,2015,3,3º trimestre,52,7.4,12.6
2016-01-01,2016,1,1º trimestre,31,11.3,20.0
2018-07-01,2018,3,3º trimestre,14,13.6,27.8
2019-04-01,2019,2,2º trimestre,26,16.1,31.7
2012-10-01,2012,4,4º trimestre,51,4.7,11.3
2020-04-01,2020,2,2º trimestre,32,12.6,23.0
2025-10-01,2025,4,4º trimestre,50,2.4,7.0
2018-04-01,2018,2,2º trimestre,16,21.6,36.9
2012-07-01,2012,3,3º trimestre,32,6.9,12.5
2012-04-01,2012,2,2º trimestre,16,14.7,23.4
2022-01-01,2022,1,1º trimestre,53,12.6,22.3
2020-04-01,2020,2,2º trimestre,11,11.0,21.0
2014-04-01,2014,2,2º trimestre,22,7.1,33.8
2023-10-01,2023,4,4º trimestre,43,5.2,11.5
2013-07-01,2013,3,3º trimestre,13,8.4,15.3
2021-10-01,2021,4,4º trimestre,52,8.8,17.5
2019-07-01,2019,3,3º trimestre,23,11.4,30.5
2023-07-01,2023,3,3º trimestre,16,12.4,21.6
2020-04-01,2020,2,2º trimestre,29,20.4,45.5
2017-01-01,2017,1,1º trimestre,29,18.7,38.8
2022-04-01,2022,2,2º trimestre,12,11.8,28.8
2012-10-01,2012,4,4º trimestre,35,6.8,11.6
2023-10-01,2023,4,4º trimestre,51,3.9,9.9
2014-10-01,2014,4,4º trimestre,41,3.7,8.7
2024-04-01,2024,2,2º trimestre,14,7.1,17.7
2016-10-01,2016,4,4º trimestre,16,17.0,28.0
2017-10-01,2017,4,4º trimestre,15,10.7,30.7
2019-01-01,2019,1,1º trimestre,29,18.5,40.8
2016-10-01,2016,4,4º trimestre,21,13.2,34.4
2024-01-01,2024,1,1º trimestre,50,5.0,11.3
2017-01-01,2017,1,1º trimestre,21,15.2,36.5
2013-07-01,2013,3,3º trimestre,27,10.6,23.4
2025-01-01,2025,1,1º trimestre,24,9.9,20.6
2025-07-01,2025,3,3º trimestre,15,6.5,19.6
2018-10-01,2018,4,4º trimestre,15,10.3,29.3
2014-01-01,2014,1,1º trimestre,50,4.7,12.6
2017-04-01,2017,2,2º trimestre,23,13.3,31.6
2012-07-01,2012,3,3º trimestre,33,7.5,12.7
2023-01-01,2023,1,1º trimestre,31,6.8,15.0
2019-10-01,2019,4,4º trimestre,42,5.5,10.3
2012-01-01,2012,1,1º trimestre,14,8.5,22.3
2021-04-01,2021,2,2º trimestre,50,9.9,21.3
2025-10-01,2025,4,4º trimestre,41,3.2,8.6
2019-04-01,2019,2,2º trimestre,51,8.4,15.8
2021-01-01,2021,1,1º trimestre,12,17.9,39.1
2022-07-01,2022,3,3º trimestre,17,5.6,16.9
2016-01-01,2016,1,1º trimestre,50,7.8,15.4
2022-10-01,2022,4,4º trimestre,25,10.3,28.0
2020-07-01,2020,3,3º trimestre,32,14.2,25.0
2016-04-01,2016,2,2º trimestre,41,8.2,14.4
2016-01-01,2016,1,1º trimestre,25,10.3,28.4
2021-01-01,2021,1,1º trimestre,11,11.3,22.6
2013-01-01,2013,1,1º trimestre,31,7.5,17.6
2023-04-01,2023,2,2º trimestre,35,7.8,14.9
2012-10-01,2012,4,4º trimestre,15,6.9,24.4
2019-01-01,2019,1,1º trimestre,16,20.3,36.6
2023-01-01,2023,1,1º trimestre,22,11.1,39.7
2013-01-01,2013,1,1º trimestre,27,12.2,25.3
2017-01-01,2017,1,1º trimestre,26,17.3,31.8
2014-10-01,2014,4,4º trimestre,22,6.0,31.2
2015-01-01,2015,1,1º trimestre,32,7.1,10.5
2020-01-01,2020,1,1º trimestre,28,15.9,36.3
2017-01-01,2017,1,1º trimestre,14,10.4,23.0
2024-10-01,2024,4,4º trimestre,42,2.7,4.8
2012-01-01,2012,1,1º trimestre,11,8.1,22.3
2016-10-01,2016,4,4º trimestre,14,9.3,19.5
2024-04-01,2024,2,2º trimestre,52,5.2,11.6
2019-04-01,2019,2,2º trimestre,43,8.3,16.1
2025-01-01,2025,1,1º trimestre,29,11.1,27.9
2014-07-01,2014,3,3º trimestre,25,9.3,27.5
2023-01-01,2023,1,1º trimestre,33,11.7,18.2
2023-07-01,2023,3,3º trimestre,25,9.3,26.7
2020-01-01,2020,1,1º trimestre,25,13.9,35.3
2012-07-01,2012,3,3º trimestre,50,5.0,12.7
2018-10-01,2018,4,4º trimestre,27,16.1,35.5
2021-04-01,2021,2,2º trimestre,12,16.3,37.5
2012-01-01,2012,1,1º trimestre,27,11.3,27.1
2025-10-01,2025,4,4º trimestre,22,8.0,27.8
2016-07-01,2016,3,3º trimestre,24,14.3,31.3
2015-10-01,2015,4,4º trimestre,50,6.0,14.0
2021-04-01,2021,2,2º trimestre,16,16.1,32.2
2015-04-01,2015,2,2º trimestre,23,8.9,24.6
2022-10-01,2022,4,4º trimestre,29,13.5,32.1
2018-04-01,2018,2,2º trimestre,25,11.1,33.3
2012-07-01,2012,3,3º trimestre,11,5.9,15.0
2012-01-01,2012,1,1º trimestre,42,4.1,11.2
2021-07-01,2021,3,3º trimestre,15,11.8,31.6
2014-01-01,2014,1,1º trimestre,21,6.5,20.8
2024-10-01,2024,4,4º trimestre,41,3.2,8.0
2020-07-01,2020,3,3º trimestre,25,17.4,43.8
2014-10-01,2014,4,4º trimestre,23,6.6,22.2
2021-01-01,2021,1,1º trimestre,16,15.3,32.5
2015-07-01,2015,3,3º trimestre,22,7.7,33.8
2014-07-01,2014,3,3º trimestre,28,9.1,26.6
2017-10-01,2017,4,4º trimestre,21,13.5,36.0
2012-07-01,2012,3,3º trimestre,14,7.5,20.3
2022-04-01,2022,2,2º trimestre,43,6.3,14.9
2018-04-01,2018,2,2º trimestre,22,13.5,41.0
2021-04-01,2021,2,2º trimestre,43,8.8,17.8
2025-04-01,2025,2,2º trimestre,12,7.3,18.2
2023-01-01,2023,1,1º trimestre,23,9.6,26.1
2019-10-01,2019,4,4º trimestre,43,7.3,14.7
2023-10-01,2023,4,4º trimestre,14,7.1,16.5
2021-04-01,2021,2,2º trimestre,53,14.4,26.1
2025-07-01,2025,3,3º trimestre,53,8.0,15.3
2022-10-01,2022,4,4º trimestre,24,10.0,27.1
2017-01-01,2017,1,1º trimestre,35,14.4,20.6
2021-01-01,2021,1,1º trimestre,29,21.7,45.2
2024-01-01,2024,1,1º trimestre,14,7.7,18.7
2018-04-01,2018,2,2º trimestre,17,11.4,23.2
2022-07-01,2022,3,3º trimestre,22,9.3,40.6
2016-04-01,2016,2,2º trimestre,42,6.8,10.0
2025-01-01,2025,1,1º trimestre,16,8.6,15.8
2014-01-01,2014,1,1º trimestre,14,7.7,19.8
2018-01-01,2018,1,1º trimestre,28,17.3,36.9
2025-01-01,2025,1,1º trimestre,13,10.0,17.3
2025-04-01,2025,2,2º trimestre,42,2.2,4.4
2022-01-01,2022,1,1º trimestre,42,4.6,8.4
2019-07-01,2019,3,3º trimestre,16,16.9,34.3
2018-10-01,2018,4,4º trimestre,52,8.4,15.7
2021-07-01,2021,3,3º trimestre,23,12.5,34.5
2019-04-01,2019,2,2º trimestre,28,15.5,39.5
2014-04-01,2014,2,2º trimestre,41,4.2,9.1
2026-01-01,2026,1,1º trimestre,15,7.0,21.7
2024-07-01,2024,3,3º trimestre,23,6.7,22.1
2012-10-01,2012,4,4º trimestre,16,12.0,19.7
2012-07-01,2012,3,3º trimestre,51,5.2,11.7
2023-04-01,2023,2,2º trimestre,16,12.3,22.0
2021-10-01,2021,4,4º trimestre,26,17.2,33.8
2024-07-01,2024,3,3º trimestre,17,5.1,16.1
2022-04-01,2022,2,2º trimestre,14,6.2,14.3
2018-01-01,2018,1,1º trimestre,51,9.5,16.1
2024-04-01,2024,2,2º trimestre,50,3.8,9.9
2012-10-01,2012,4,4º trimestre,24,11.6,29.2
2018-07-01,2018,3,3º trimestre,43,8.3,15.6
2014-01-01,2014,1,1º trimestre,33,6.7,9.3
2013-01-01,2013,1,1º trimestre,43,5.4,12.6
2024-04-01,2024,2,2º trimestre,23,7.5,23.6
2018-10-01,2018,4,4º trimestre,33,14.9,19.6
2012-10-01,2012,4,4º trimestre,12,8.2,18.7
2016-04-01,2016,2,2º trimestre,17,11.2,20.3
2012-07-01,2012,3,3º trimestre,52,5.0,10.8
2014-01-01,2014,1,1º trimestre,24,11.8,26.0
2022-10-01,2022,4,4º trimestre,32,7.3,14.2
2018-10-01,2018,4,4º trimestre,24,13.5,37.0
2019-04-01,2019,2,2º trimestre,12,13.8,31.7
2019-07-01,2019,3,3º trimestre,12,13.1,30.7
2023-10-01,2023,4,4º trimestre,26,12.0,26.6
2024-07-01,2024,3,3º trimestre,27,7.8,26.3
2012-07-01,2012,3,3º trimestre,43,4.7,12.4
2014-10-01,2014,4,4º trimestre,16,9.6,16.6
2026-01-01,2026,1,1º trimestre,17,5.6,13.6
2014-07-01,2014,3,3º trimestre,22,6.2,33.0
2023-07-01,2023,3,3º trimestre,35,7.2,13.9
2013-01-01,2013,1,1º trimestre,21,9.5,23.6
2012-04-01,2012,2,2º trimestre,43,5.1,13.9
2017-10-01,2017,4,4º trimestre,29,15.1,37.9
2024-01-01,2024,1,1º trimestre,22,10.0,37.1
2023-10-01,2023,4,4º trimestre,15,7.8,23.5
2013-01-01,2013,1,1º trimestre,11,6.2,16.2
2022-04-01,2022,2,2º trimestre,50,5.2,12.3
2021-04-01,2021,2,2º trimestre,25,15.5,38.3
2017-01-01,2017,1,1º trimestre,53,14.3,19.7
2016-07-01,2016,3,3º trimestre,15,11.1,26.9
2015-04-01,2015,2,2º trimestre,11,4.9,11.6
2017-07-01,2017,3,3º trimestre,25,10.9,32.6
2018-07-01,2018,3,3º trimestre,25,11.0,33.2
2023-01-01,2023,1,1º trimestre,14,6.7,14.1
2020-04-01,2020,2,2º trimestre,50,11.6,22.8
2015-10-01,2015,4,4º trimestre,22,7.3,29.4
2019-01-01,2019,1,1º trimestre,15,11.6,30.7
2019-07-01,2019,3,3º trimestre,24,13.7,35.7
2017-04-01,2017,2,2º trimestre,17,11.7,21.9
2016-07-01,2016,3,3º trimestre,25,13.0,31.9
2013-10-01,2013,4,4º trimestre,11,4.9,11.7
2020-04-01,2020,2,2º trimestre,43,9.7,20.1
2018-01-01,2018,1,1º trimestre,43,8.6,15.6
2018-10-01,2018,4,4º trimestre,17,10.5,22.8
